bin,p_mean,y_rate,count
"(-0.001, 0.05]",0.04307885358422497,0.0,125
"(0.05, 0.1]",0.06124776213761991,0.001388888888888889,1440
"(0.1, 0.15]",0.13367664934400542,0.015789473684210527,570
"(0.15, 0.2]",0.16387716869244728,0.1325,400
"(0.2, 0.25]",0.21892885750779764,0.14423076923076922,104
"(0.25, 0.3]",0.2808492027158965,0.1694915254237288,59
"(0.3, 0.35]",0.3334390269893413,0.5298013245033113,302
"(0.35, 0.4]",0.3806536393889317,0.47124117053481335,1982
"(0.4, 0.45]",0.42767342895988686,0.4783017095622769,5323
"(0.45, 0.5]",0.47582282923475683,0.5055032338590718,8813
"(0.5, 0.55]",0.5242437307294582,0.5202571567200388,8244
"(0.55, 0.6]",0.5728690472207415,0.5284858853721129,5845
"(0.6, 0.65]",0.6213060400027145,0.5372418879056047,2712
"(0.65, 0.7]",0.6702180960982687,0.5515267175572519,1048
"(0.7, 0.75]",0.7221122731971733,0.6096256684491979,374
"(0.75, 0.8]",0.7709530940576683,0.6013513513513513,148
"(0.8, 0.85]",0.8151619206241609,0.8378378378378378,37
"(0.85, 0.9]",0.8615620043084823,0.8,5
